Current step: 750
Physical elapsed time: 0.074900000
CPU time: 9.516330000
id     	p[0]     	p[1]     	p[2]     	v[0]     	v[1]     	v[2]     	F[0]     	F[1]     	F[2]
60	0.003110	0.003692	0.002840	-0.073388	-0.038836	-0.269384	-0.003008	0.003892	-0.003475
332	0.002897	0.003967	0.004582	-0.174252	0.055577	0.085891	0.000000	0.000000	-0.000981
487	0.003336	0.003056	0.009014	-0.146283	-0.091784	0.106075	0.000000	0.000000	-0.000981
57	0.003437	0.002787	0.010429	0.029081	-0.059028	0.145926	0.000000	0.000000	-0.000981
46	0.003406	0.005639	0.001798	-0.011951	0.000972	-0.123313	0.000000	0.000000	-0.000981
52	0.002211	0.005459	0.001563	-0.103256	-0.046653	0.029976	0.000000	0.000000	-0.000981
4	0.002637	0.004170	0.001021	-0.077991	0.118987	-0.006598	0.000000	0.000000	-0.000981
68	0.003215	0.004794	0.003252	0.015598	-0.125705	-0.068138	0.000000	0.000000	-0.000981
55	0.002202	0.004820	0.003074	-0.134793	0.173121	-0.032436	0.000000	0.000000	-0.000981
213	0.002161	0.004841	0.005139	-0.046196	-0.035027	-0.031361	0.000000	0.000000	-0.000981
12	0.003506	0.004625	0.005238	-0.002581	-0.147021	0.014298	0.000000	0.000000	-0.000981
48	0.003038	0.004370	0.007461	-0.043364	0.044758	0.061471	0.000000	0.000000	-0.000981
607	0.002185	0.005369	0.010744	-0.186623	0.134127	0.122018	0.000000	0.000000	-0.000981
348	0.002892	0.007267	0.000975	-0.128593	-0.009351	0.075130	0.000000	0.000000	0.027524
53	0.002610	0.006213	0.002320	-0.101130	-0.057513	0.068545	0.012291	-0.013081	-0.011796
75	0.002156	0.006700	0.002726	0.008970	-0.140003	0.037022	-0.009635	0.011835	0.012725
224	0.003971	0.006412	0.005428	-0.048817	-0.045387	-0.001096	0.000000	0.000000	-0.000981
